headword,translations
alber,durnas; ledûsis
albereit,jau
alff,aitworas
alldieweil,kadangi
alle,wissas
alle jahr,kas mets
alle miteinander,wissotinna
alle tag,kas den
alle zeit,wissaday; wissados; wissada
alle zugleich,drauge; padrauge
allein,wienas
allein,wienok
allenthalben,wissur
allerdings,irgi
allererst,pirmjausey
allerheiligen fest,ilges
allerheylich,paspalitas
allerley,wissokias
allermeist,didzausey; labjausey
alles,wiß
alles miteinander,wißlab
allgemach,palengwa; pamazy
allgemeiner auffboth,paspalwa
allhier,cze; czonai; szicze
allmacht,wissagalybe
allmächtig,wissagalis; wissagalingas
allmose,kalleda; almusina
allso,taipo; szitteipo
allsoauch,taipajeg; teipojau
allzusehr,labbay; neredu; newiku; tytweiku
allzuviel,perdaug
alpen,kiemerai
alß,kaipo; kûmet
alßbald,tûjau; tûlidzaus; tucz; tui
alßdann,tadda
alßwenn,kaipantar; kaipkadda
alt,sennas; senna
altar,altorus
alter,sennyste; senatwe; sennowe; senumas
altflicker,lopikas; lopix
altwerden,pasesti
am allermeisten,wissulabjausey; didzausey
am ende,gallausey; kraßczausey
am tage,regimay
ambitschreiber,scribele
amboß,preikalas
ambt,uriedai; walsczus
ambtman,uriedninkas
amme,aukle
amsel,szeszete
an,prie
an die acht erklären,walna dût ußmußt
an ein ander,prie wiens wieno
anatomiren,iszmesineti
anbefehlen,prisakyti
anbeißen,prakasti
anbethen,melstisi
anbieten,sulyti
anbinden,pririßti
anbohren,prigreßti
anbrechen,pralauszti
anbrechender tag,auszra
anbrennen,priswilti
ancker,inkaras; stipra inkara sawo dußios turrim
andacht,nobaznyste
andächtig,nobaznas
ander,kittas; antras
ändern,mainyti; perkraipyti
andern ley,kittokas
anders,kittaip
anderswo,kittur
anderswo,kitturkur
anderthalb,pus antro
änderung,permainimas
andeuten,praneßti
andeutung,praneßimas
andrücken,prispausti
anfahren,uzkludyti; priwazuti
anfallen,apnikti; appulti
anfallig,pripulingas
anfällschung,priekie
anfang,pradzia; pradejimas
anfangen,pradieti
anfänger,pradetojis
anfänglich,iß pradzios
anfaßen,sugrebti; nutwerti
anfechten,klabinti; uzkabbinti
anfechtung,uzkabbinnimas
anfeinchen,uzkabbinti
anführen,priwesti
anfuhrer,wadas
anfuhrt,priwazawimas
anfüllen,pripilti
äng,sauras; ankßtas
angeben,apskusti
angebohren,prigimtas
angebrandt,priswilles
angeerbet,prigimmes
angehen,prasidesti; atsirasti
angehören,priklausyti
angel,meßkere
angelegen,rupestingas
angelegen seyn laßen,rupintisi
angelegenheit,rupestis
angeloben,pazadeti
angelschnur,aßuts
angenehm,mielas
anger,lanka; priwarte
angesicht,weidas; gimis; y weida tarriti
angießen,pripilti
anglen,meßkerati
angreiffen,nutwerti
angrieff,nutwerimas
angst,tuzba
angste mich,tuzijmos
angsten,tuzitisi; kwarcziti; silwartauti; spranditisi; warginti
ängstiglich,tußbingay
anhafften,prisekti
anhalten,prispekti
anhang,prikabbimas; pridejimas
anhangen,prikabbyti
anhauchen,priekwepti
anhauen,prakirssti
anheben,pradeti
anheben zu lachen,prasijûkti
anheben zu weinen,prawerkti
anheber,pradetojis
anhencken,prikabbyti
anhezen,pakussinti; uzleisti ßunnes
anhezer,pakusa
anies,anizei
anker,inkara
ankerseil,kardelus
anklag,apskundimas
anklagen,apskusti
ankläger,skundze
ankleben,prilipti
anklopffen,tuzgenti
anknüpffen,pririßti
ankommen,ateiti
ankömmilich,ateiwys
ankündigen,apsakiti
ankündigung,apsakimas
ankunft,atejimas
anlachen,jûkinti
anlangen,prieiti; parsieiti
anlauff,pribega
anlauffen,pribegti
anlegen,prideti
anlehnen,prisiglausti; prisislieti; atsiloßti
anleimen,priklijûti
anleiten,priwesti
anleitung,pawadas
anliegen,tuzba
anliegen haben,tuzitisi
anmahnen,priraginti
anmahnung,priraginnimas
anmassen,passisawinti
anmuthig,meilus; meilesnis; meilausias
annegeln,prikalti
annehmen,prûmti
annoch,dar; dabar
anordnen,pridawadyti
anordnung,pridawadijimas
anreden,pakalbinti
anreizen,pakusseti
anreizer,pakussa
anreizung,pakussimas
anrichten,pakelti
anruffen,szaukti
anruffung,szauksmas
anrühren,pakruttiti; pajudditi; paliteti
ansagen,apsakyti
anschaffen,gamminti
anschauen,pamatyti
anscheinen,uzziebti
anschielen,zwairoti
anschienen,paßeniti
anschlag,mislis
anschlagen,primußti
anschlägiger kopf,mislinczus
anschmieren,patepti
anschneiden,prapjauti; prariekti
anschnitt,prariekimmas
anschreiben,paraßiti
